year,region,citizenship,immigration,population,immigration_ratio,citizenship_ratio
2003,Thurgau,822,2480,44100,0.05623582766439909,0.018639455782312925
2003,Ticino,1973,4021,78997,0.050900667113941034,0.024975631986024784
2003,Uri,81,199,2861,0.0695560992659909,0.028311779098217405
2003,Valais,646,4579,47121,0.09717535705948516,0.013709386473122387
2003,Vaud,2818,15461,171214,0.09030219491396732,0.016458934432931886
2003,Zug,470,1383,20302,0.06812136735297016,0.023150428529208945
2003,Zürich,8683,16231,275697,0.05887260289375655,0.031494720653471024
2004,Aargau,2184,4353,110717,0.03931645546754338,0.019725968008526242
2004,Appenzell Ausserrhoden,229,306,7115,0.04300773014757554,0.032185523541813074
2004,Appenzell Innerrhoden,38,85,1466,0.05798090040927694,0.02592087312414734
2004,Basel-Landschaft,1351,2168,46979,0.04614827901828476,0.02875752996019498
2004,Basel-Stadt,1272,4218,53898,0.07825893354113325,0.023600133585661806
2004,Bern,4255,8796,117094,0.07511913505388833,0.03633832647274839
2004,Fribourg,884,3067,37043,0.08279566989714655,0.023864157870582835
2004,Genève,3745,14169,160344,0.08836626253554856,0.023356034525769596
2004,Glarus,158,306,7786,0.039301310043668124,0.02029283329052145
2004,Graubünden,1077,2924,25802,0.1133245484846136,0.04174095031392915
2004,Jura,151,369,8262,0.044662309368191724,0.018276446381021546
2004,Luzern,1266,3404,54189,0.06281717691782465,0.023362675081658638
2004,Neuchâtel,898,2096,38116,0.054990030433413786,0.023559659985308005
2004,Nidwalden,130,337,3676,0.09167573449401524,0.03536452665941241
2004,No indication,0,0,0,,
2004,Obwalden,99,307,3719,0.08254907233127184,0.026620059155687013
2004,Schaffhausen,348,764,15250,0.0500983606557377,0.02281967213114754
2004,Schwyz,120,1099,21515,0.0510806414129677,0.005577504066930049
2004,Solothurn,456,1469,43464,0.03379808577213326,0.010491441192711209
2004,St. Gallen,1791,4236,92634,0.045728350281754,0.01933415376643565
2004,Switzerland,35685,100834,1500907,0.06718204392410722,0.023775623672885795
2004,Thurgau,943,2140,45163,0.047383920465868076,0.02087992383145495
2004,Ticino,1930,4111,79353,0.051806484947008936,0.02432170176300833
2004,Uri,48,268,2866,0.09351011863224006,0.01674808094905792
2004,Valais,617,4684,48795,0.09599344195101957,0.012644738190388359
2004,Vaud,2994,16046,177252,0.09052648207072417,0.016891205740978944
2004,Zug,492,1510,20726,0.07285535076715237,0.023738299720158257
2004,Zürich,8209,17602,277683,0.0633888282682051,0.029562486720469024
2005,Aargau,1918,4304,112527,0.03824859811423036,0.017044798137335927
2005,Appenzell Ausserrhoden,480,340,7000,0.04857142857142857,0.06857142857142857
2005,Appenzell Innerrhoden,47,93,1462,0.06361149110807114,0.032147742818057455
2005,Basel-Landschaft,1321,2166,47082,0.04600484261501211,0.028057431714880423
2005,Basel-Stadt,1268,3968,54755,0.0724682677381061,0.02315770249292302
2005,Bern,3937,8010,118423,0.06763888771606867,0.03324523107842227
2005,Fribourg,715,2914,38301,0.07608156445001436,0.018667919897652804
2005,Genève,4232,14192,161523,0.08786364790153724,0.026200603010097634
2005,Glarus,239,279,7769,0.03591195778092419,0.030763289998712834
2005,Graubünden,562,2790,26221,0.10640326455894131,0.021433202395026888
2005,Jura,308,413,8246,0.0500848896434635,0.03735144312393888
2005,Luzern,1242,3261,54536,0.05979536452985184,0.0227739474842306
2005,Neuchâtel,1117,2639,38453,0.06862923569032325,0.02904844875562375
2005,Nidwalden,109,287,3737,0.0767995718490768,0.02916778164302917
2005,No indication,0,0,0,,
2005,Obwalden,74,275,3712,0.07408405172413793,0.01993534482758621
2005,Schaffhausen,223,699,15292,0.04571017525503531,0.014582788386084226
2005,Schwyz,395,1325,22068,0.060041689323907924,0.017899220590900853
2005,Solothurn,787,1649,44145,0.037354173745611056,0.01782761354626798
2005,St. Gallen,2395,4313,93545,0.04610615211930087,0.025602651130471964
2005,Switzerland,38437,99091,1524663,0.06499206709941803,0.02521016119627747
2005,Thurgau,1054,2088,45425,0.04596587782058338,0.023203082003302147
2005,Ticino,1509,4272,79875,0.05348356807511737,0.018892018779342722
2005,Uri,106,270,2934,0.09202453987730061,0.03612815269256987
2005,Valais,649,4909,50628,0.09696215532906692,0.01281899344236391
2005,Vaud,4107,14743,183447,0.08036653638380567,0.02238793766046869
2005,Zug,643,1643,21412,0.07673267326732673,0.030029889781430973
2005,Zürich,9000,17249,282145,0.0611352318843148,0.03189849191018802
2006,Aargau,3664,5320,114482,0.046470187453049386,0.032005031358641536
2006,Appenzell Ausserrhoden,226,350,6653,0.05260784608447317,0.03396963775740267
2006,Appenzell Innerrhoden,46,101,1452,0.06955922865013774,0.03168044077134986
2006,Basel-Landschaft,1179,2225,47296,0.04704414749661705,0.024928112313937753
2006,Basel-Stadt,1121,4494,54809,0.0819938331295955,0.020452845335620064
2006,Bern,5802,8612,118712,0.07254531976548285,0.04887458723633668
2006,Fribourg,675,2989,39692,0.07530484732439786,0.017005945782525445
2006,Genève,6489,15347,162835,0.09424877943930973,0.03985015506494304
2006,Glarus,292,315,7594,0.04148011588095865,0.03845140900711088
2006,Graubünden,480,2818,26652,0.10573315323427886,0.018009905447996397
2006,Jura,236,452,8097,0.05582314437445968,0.029146597505248856
2006,Luzern,1640,3734,54804,0.06813371286767389,0.02992482300562003
2006,Neuchâtel,1121,2410,38758,0.06218071107900305,0.028923061045461582
2006,Nidwalden,75,351,3762,0.09330143540669857,0.019936204146730464
2006,No indication,0,0,0,,
2006,Obwalden,56,401,3765,0.10650730411686588,0.014873837981407702
2006,Schaffhausen,311,805,15456,0.052083333333333336,0.020121635610766044
2006,Schwyz,458,1287,22671,0.056768558951965066,0.020202020202020204
2006,Solothurn,576,1750,44623,0.0392174439190552,0.012908141541357596
2006,St. Gallen,2037,4871,93693,0.05198894261044048,0.021741218660945857
2006,Switzerland,46711,107177,1541912,0.06950915486746326,0.03029420615443683
2006,Thurgau,1046,2310,45643,0.05061017023420897,0.022916986175317136
2006,Ticino,1918,4624,80911,0.057149213333168546,0.023705058644683665
